Name ,Phone Number,Aadhaar card no,Age,DOB,Gender,Rural_Urban,Number of members in familty,Employment Status,Annual Income,Education,Region,Religion,Mother Tongue,Marital Status,Field of employment,Disease,Vaccination status,Infection,Digital connectivity
Kunashe,9287346307,2.32E+11,49,02-06-1972,1,1,5,1,2,1,Sangli,Buddhism,Marathi,1,Science and Technology,none,0,1,1
Vazid,9570923839,2.95E+11,70,25-04-1952,1,1,6,1,3,1,Palghar,Hindu,Marathi,0,Self Employed,none,0,1,1
Pushkar,9629079389,7.04E+11,63,11-04-1959,1,1,2,1,1,1,Parbhani,Christian,English,0,Business,none,1,1,1
Darmon,9539792904,8.25E+11,73,23-04-1949,1,1,1,1,2,1,Ratnagiri,Muslim,Marathi,0,Education,none,1,1,0
Lataya,7614930894,4.85E+11,49,02-09-1972,0,1,6,0,2,1,Mumbai City,Sikh,Hindi,1,Unemployed,none,2,1,1
Saumie,8693641882,7.53E+11,20,22-07-2001,0,1,2,1,2,1,Solapur,Sikh,Marathi,1,Art,Artheritis,1,0,1
Fiorella,8224879004,9.28E+11,36,09-02-1986,0,1,3,1,2,1,Akola,Hindu,Punjabi,0,IT,Asthma,2,1,1
Mailene,8293612857,3.18E+11,49,26-02-1973,0,1,5,1,2,1,Bhandara,Hindu,Marathi,1,Education,none,2,0,1
Brandi,8539394482,2.53E+11,25,27-03-1997,0,1,3,1,3,1,Washim,Hindu,Hindi,1,Agriculture,none,1,1,1
Jennise,8176031902,3.75E+11,69,07-04-1953,0,1,6,1,1,1,Raigad,Hindu,Marathi,1,Social Service,none,1,0,1
Krisia,8445971552,8.43E+11,22,01-02-2000,0,1,2,1,2,1,Ahmednagar,Buddhism,Hindi,0,Finance,Artheritis,2,0,1
Lavpreet,7782520852,3.42E+11,42,27-04-1980,0,1,2,0,1,1,Washim,Hindu,Hindi,0,Unemployed,none,0,0,0
Shatiek,9231923843,4.10E+11,67,21-04-1955,1,1,0,1,3,1,Aurangabad,Jain,Hindi,0,IT,none,0,0,0
Sarwa,7937087927,6.04E+11,60,01-12-1961,0,1,4,1,2,1,Palghar,Muslim,Bengali,0,IT,none,2,1,0
Lish,9419276148,3.93E+11,38,13-02-1984,1,1,1,1,2,1,Solapur,Christian,Odia,0,Social Service,none,2,1,0
Charlotte-ann,9366493284,8.34E+11,24,06-11-1997,0,1,6,0,2,1,Washim,Others,Gujarati,0,Unemployed,none,1,1,1
Mckinsie,7897523088,4.72E+11,74,21-03-1948,0,1,3,1,3,1,Nanded,Hindu,Kannada,1,Communication,none,1,0,1
Charrissa,7630832036,9.33E+11,28,10-10-1993,0,1,4,0,1,1,Hingoli,Christian,Hindi,1,Unemployed,none,2,1,1
Bellarose,8668442649,3.37E+11,67,29-12-1954,0,1,0,1,1,1,Beed,Hindu,Marathi,1,Communication,none,2,0,0
Premiere,9508812565,9.39E+11,53,05-08-1968,1,1,3,0,2,1,Mumbai City,Hindu,Hindi,0,Unemployed,none,0,0,1
Andela,9423140380,3.86E+11,53,21-06-1968,0,1,0,1,1,1,Beed,Hindu,Marathi,1,Communication,none,1,0,0
Lacci,8250309114,8.35E+11,26,31-03-1996,0,1,3,1,2,1,Mumbai City,Others,Marathi,0,Production,none,2,0,0
Sarait,7859314171,6.30E+11,61,08-01-1961,0,1,4,0,3,1,Amravati,Hindu,Marathi,1,Unemployed,none,2,0,0
Intisaar,9668199417,7.97E+11,50,14-09-1971,0,1,2,1,1,1,Aurangabad,Christian,Odia,1,Finance,none,0,0,1
Rueban,8229689235,3.76E+11,23,20-07-1998,1,1,3,1,2,1,Mumbai City,Hindu,English,1,IT,none,0,0,1
Murrey,7692304969,5.08E+11,49,29-04-1973,1,1,3,1,1,1,Sangli,Hindu,Hindi,0,Education,none,2,0,0
Ellissa,8133748467,1.27E+11,65,02-09-1956,0,1,6,0,3,1,Gondia,Sikh,Marathi,1,Unemployed,none,1,0,0
Saevion,9678085071,4.29E+11,45,14-02-1977,1,1,6,1,3,1,Nanded,Hindu,Malayalam,1,IT,none,2,0,0
Lakhua,9878955387,2.95E+11,19,28-12-2002,1,1,1,1,1,1,Bhandara,Hindu,Punjabi,1,Agriculture,none,1,0,0
Elianore,9581754027,2.46E+11,50,24-11-1971,0,1,1,1,2,1,Ratnagiri,Hindu,English,1,Agriculture,none,2,1,1
Amondo,8649880728,8.65E+11,52,05-04-1970,1,1,5,1,1,0,Ahmednagar,Hindu,Assamese,1,Communication,none,0,1,1
Mervin,7209858653,9.52E+11,52,10-10-1969,1,1,1,1,2,0,Hingoli,Buddhism,Tamil,0,Social Service,none,0,1,0
Corderious,8518471129,6.42E+11,71,12-05-1950,1,1,2,1,2,0,Raigad,Buddhism,Marathi,1,Production,none,0,0,1
Wenceslao,8001519107,4.38E+11,54,12-12-1967,1,1,0,1,1,0,Chandrapur,Christian,Gujarati,1,IT,none,1,0,1
Magic,7710989591,9.02E+11,35,16-04-1987,1,1,5,0,2,0,Aurangabad,Hindu,English,1,Unemployed,none,0,0,1
Derien,9176511486,7.72E+11,75,16-04-1947,1,1,4,1,3,0,Satara,Hindu,Marathi,1,Finance,none,2,0,0
Sharyl,9389327083,8.13E+11,24,23-12-1997,0,1,1,0,1,0,Nagpur,Christian,Marathi,1,Unemployed,none,1,0,0
Afzaj,7377183444,9.70E+11,55,21-12-1966,1,1,3,1,2,0,Akola,Sikh,Hindi,1,Self Employed,none,2,0,1
Willow-rose,9118105928,6.48E+11,67,21-05-1954,0,1,6,1,2,0,Yavatmal,Hindu,Marathi,0,Education,none,0,0,0
Kellisa,7199732272,1.43E+11,20,22-02-2002,0,1,2,1,2,0,Solapur,Sikh,Marathi,1,IT,none,2,1,1
Azarah,7079462705,8.62E+11,20,01-09-2001,0,1,2,1,2,0,Sindhurdurg,Hindu,Marathi,0,Self Employed,none,1,1,0
Rainerio,7156109446,9.54E+11,57,30-10-1964,1,1,5,1,2,0,Mumbai City,Others,Marathi,0,Art,none,0,1,0
Brandan,7396392334,3.72E+11,40,04-02-1982,1,1,0,1,2,0,Sangli,Hindu,Punjabi,0,Social Service,none,0,0,0
Elrico,7298188950,8.12E+11,82,05-05-1940,1,1,0,1,1,0,Ahmednagar,Hindu,Marathi,0,Business,none,1,0,1
Mikylie,7006587517,2.11E+11,40,25-02-1982,0,1,0,1,3,0,Nagpur,Muslim,Gujarati,0,Social Service,none,1,1,1
Wyma,9191392315,3.45E+11,80,12-03-1942,0,1,2,1,2,0,Ratnagiri,Hindu,Marathi,1,Science and Technology,none,1,0,1
Xavier-ian,8913339600,1.90E+11,43,02-11-1978,1,1,3,1,3,0,Nagpur,Sikh,Marathi,0,Self Employed,none,2,1,1
Korey,7623193033,1.93E+11,81,08-12-1940,1,1,6,1,2,0,Sangli,Muslim,Marathi,1,Agriculture,none,1,0,1
Amorie,7339162274,9.67E+11,45,16-02-1977,0,1,6,1,1,0,Wardha,Jain,Marathi,0,Education,none,1,0,0
Catana,9926066658,6.35E+11,59,08-09-1962,0,1,3,1,3,0,Palghar,Hindu,Assamese,1,Social Service,none,0,0,1
Lelynd,7733239403,4.77E+11,20,10-02-2002,1,1,2,1,1,0,Solapur,Hindu,Marathi,1,IT,none,2,1,1
Dori,8106040017,5.25E+11,22,06-04-2000,1,1,0,0,3,0,Buldhana,Christian,Odia,1,Unemployed,none,0,1,0
Drucella,7365802962,5.18E+11,72,09-08-1949,0,1,3,1,2,0,Ratnagiri,Buddhism,Hindi,1,Business,none,1,0,0
Ikraan,7953194354,8.07E+11,28,08-07-1993,0,1,2,1,3,0,Raigad,Hindu,Gujarati,0,IT,none,2,0,1
Chavela,9787706953,2.00E+11,70,11-11-1951,0,1,3,1,3,0,Akola,Muslim,Marathi,1,Self Employed,none,2,1,0
Joevan,9069791595,9.19E+11,44,14-01-1978,1,1,6,0,2,0,Chandrapur,Others,Punjabi,1,Unemployed,none,1,1,1
Malkhaz,8472729798,3.70E+11,68,04-05-1954,1,1,2,0,2,0,Thane,Hindu,Gujarati,0,Unemployed,none,0,0,1
Sharin,7518609616,3.14E+11,75,15-06-1946,0,1,5,1,2,0,Solapur,Hindu,Hindi,1,Art,other,2,0,1
Sakiyah,7750463275,2.02E+11,59,05-02-1963,0,1,5,1,2,0,Ratnagiri,Hindu,Malayalam,1,IT,none,2,0,0
Pancham,7052365216,4.71E+11,52,07-08-1969,1,1,3,1,1,0,Buldhana,Hindu,Marathi,0,Finance,none,0,0,0
Scott,7941272428,9.78E+11,64,23-04-1958,1,1,0,1,2,0,Dhule,Jain,Hindi,0,Social Service,none,2,1,1
Alchemy,7002859245,9.05E+11,72,29-01-1950,0,1,1,1,1,0,Mumbai City,Hindu,Marathi,0,Social Service,none,2,1,0
Kiswana,9404127347,2.46E+11,21,02-01-2001,0,1,2,0,1,0,Kolhapur,Others,Odia,1,Unemployed,none,1,0,1
Tabbasum,7097874263,1.78E+11,44,30-10-1977,0,1,4,1,1,0,Nanded,Buddhism,Odia,1,Social Service,none,2,1,1
Moctar,9984763047,8.17E+11,65,24-11-1956,1,1,1,1,3,0,Jalgaon,Others,Marathi,1,IT,none,2,0,0
Damiyon,7450258650,6.52E+11,47,15-11-1974,1,1,2,1,1,0,Jain,Muslim,Gujarati,0,Finance,none,0,1,0
Yannery,9778661989,7.62E+11,69,11-01-1953,0,1,2,1,2,0,Nanded,Sikh,Hindi,1,Social Service,none,1,0,1
Agapito,7914345462,8.49E+11,75,01-04-1947,1,1,5,1,2,0,Beed,Hindu,Marathi,0,Social Service,none,2,1,1
Lynk,7236246770,6.35E+11,76,13-06-1945,1,1,6,1,3,0,Pune,Hindu,Assamese,1,Science and Technology,none,2,0,1
Pranati,8357012086,1.58E+11,45,02-08-1976,0,1,1,1,3,0,Sindhurdurg,Buddhism,Marathi,1,Education,none,0,0,1
Yanisha,8885356113,1.29E+11,56,02-09-1965,0,1,1,1,1,0,Akola,Hindu,Marathi,0,Finance,none,2,0,1
Cire,7300943642,6.64E+11,77,17-05-1944,1,1,0,1,3,0,Osmanabad,Hindu,Assamese,0,IT,none,0,1,1
Ernette,9531646025,1.49E+11,38,20-07-1983,0,1,2,1,2,0,Nanded,Hindu,Marathi,1,Education,none,1,0,1
Paxon,7858168828,8.00E+11,61,25-04-1961,1,1,3,1,2,0,Kolhapur,Christian,Gujarati,0,Science and Technology,none,0,0,1
Kedar,8825416318,3.31E+11,57,13-01-1965,1,1,6,0,3,0,Palghar,Others,Marathi,0,Unemployed,none,1,1,1
Dua,7419961773,8.70E+11,30,16-02-1992,0,1,0,1,1,0,Wardha,Hindu,Odia,1,Art,other,0,0,0
Dhmendar,7355678844,2.00E+11,46,23-08-1975,1,1,5,1,3,0,Jalgaon,Jain,Marathi,1,Education,Asthma,1,0,0
Kristof,9204691453,6.02E+11,80,23-11-1941,1,1,5,1,1,0,Mumbai City,Jain,Hindi,1,Self Employed,none,2,1,0
Emmalouise,8103505719,4.67E+11,40,28-11-1981,0,1,5,0,2,0,Parbhani,Buddhism,Gujarati,0,Unemployed,none,1,1,0
Grimm,8662106757,2.51E+11,51,16-03-1971,1,1,3,1,2,0,Gadchiroli,Jain,Sanskrit,1,Finance,none,1,0,0
Eda,8044337573,8.14E+11,46,28-12-1975,0,1,5,0,1,0,Satara,Buddhism,Assamese,0,Unemployed,none,2,0,0
Catrice,7160586432,4.94E+11,47,08-04-1975,0,1,5,1,3,0,Thane,Hindu,Telugu,1,Social Service,none,2,1,1
Doneva,9271674277,9.65E+11,52,04-08-1969,0,1,5,1,1,0,Hingoli,Christian,Sanskrit,1,Science and Technology,Cancer,1,1,0
Gaolee,7371757985,7.65E+11,73,22-08-1948,0,1,1,1,1,0,Dhule,Hindu,Marathi,1,Social Service,none,1,1,1
Cannen,7164506849,8.52E+11,30,06-05-1991,1,1,2,1,1,0,Osmanabad,Hindu,Marathi,1,Finance,none,1,0,1
Sharielle,9083540945,1.94E+11,80,11-12-1941,0,1,6,1,2,0,Latur,Hindu,Marathi,0,Communication,none,1,1,0
Johel,9243496496,5.64E+11,69,29-04-1953,1,1,3,1,1,0,Ahmednagar,Hindu,Marathi,1,Science and Technology,Cancer,1,1,1
Raley,8812287062,8.79E+11,51,15-08-1970,0,1,2,0,1,0,Mumbai Suburban,Hindu,Marathi,1,Unemployed,none,2,1,0
Noris,8979455484,8.37E+11,24,07-07-1997,1,1,0,1,2,0,Kolhapur,Jain,Hindi,0,IT,none,1,0,1
Temoor,7110426229,2.58E+11,29,27-06-1992,1,1,3,0,1,1,Akola,Buddhism,Marathi,0,Unemployed,none,0,1,1
Nazifah,9812831317,1.27E+11,81,12-08-1940,0,1,6,1,2,1,Mumbai Suburban,Sikh,Punjabi,1,Social Service,none,1,0,1
Jemarr,8519422549,5.05E+11,58,27-04-1964,1,1,6,0,3,1,Amravati,Hindu,Marathi,1,Unemployed,Blood Pressure,1,1,1
Jaisley,8810460486,5.85E+11,37,09-03-1985,0,1,2,1,2,1,Pune,Christian,Marathi,0,Business,none,2,0,1
Sadie-may,7858478679,8.07E+11,26,19-09-1995,0,1,5,1,1,1,Satara,Muslim,Telugu,0,Social Service,none,1,0,0
Capone,9476755618,1.02E+11,47,26-05-1974,1,1,5,1,1,1,Bhandara,Hindu,Hindi,0,Finance,none,2,0,0
Caulen,9722550788,8.01E+11,30,02-10-1991,1,1,0,1,2,1,Jalgaon,Hindu,Malayalam,1,Communication,none,2,1,1
Avelin,7571477550,8.53E+11,82,16-04-1940,0,1,1,1,3,1,Aurangabad,Jain,Hindi,1,Business,none,0,0,1
Roxane,8142934375,6.91E+11,30,14-09-1991,0,1,6,1,1,1,Jain,Hindu,Marathi,1,Social Service,none,1,0,1
Taliesha,8728606483,5.91E+11,42,02-09-1979,0,1,0,0,1,1,Beed,Hindu,Marathi,1,Unemployed,none,0,0,0
Courtney-jayne,9828843757,6.89E+11,67,29-06-1954,0,1,1,1,2,1,Amravati,Sikh,Marathi,0,IT,none,2,0,1
Bezawit,8051679886,5.89E+11,73,18-11-1948,0,1,3,1,2,1,Mumbai City,Hindu,Marathi,1,Self Employed,none,0,0,1
Bol,7545799974,8.34E+11,20,15-05-2001,1,1,5,0,2,1,Sindhurdurg,Christian,Bengali,0,Unemployed,none,1,0,0
Dennard,8992039808,9.81E+11,60,28-05-1961,1,1,1,0,1,1,Kolhapur,Hindu,Punjabi,1,Unemployed,other,0,1,0
Dasiah,7470204254,8.66E+11,79,16-09-1942,0,1,0,1,1,1,Latur,Others,Marathi,1,IT,none,2,0,1
Matoya,8811562978,7.55E+11,75,02-04-1947,0,1,0,1,2,1,Palghar,Hindu,Tamil,0,Self Employed,none,0,0,1
Coeus,8110258808,2.25E+11,35,01-04-1987,1,1,5,1,1,1,Yavatmal,Sikh,Hindi,1,Art,none,0,1,1
Romonda,8732325066,8.57E+11,26,26-11-1995,0,1,5,1,3,1,Osmanabad,Others,Gujarati,0,Science and Technology,Artheritis,2,1,1
Omariana,7077402509,9.32E+11,38,02-02-1984,0,1,1,0,1,1,Thane,Hindu,Hindi,1,Unemployed,none,2,0,0
Clemintine,9235047019,7.58E+11,25,02-04-1997,0,1,2,0,2,1,Latur,Jain,Hindi,0,Unemployed,none,2,0,1
Casarah,8644887618,4.69E+11,41,17-03-1981,0,1,2,1,3,1,Aurangabad,Hindu,Marathi,0,Art,none,0,1,0
Chalina,8347496828,1.54E+11,52,30-08-1969,0,1,0,0,3,1,Beed,Hindu,Hindi,0,Unemployed,none,1,1,1
Kaydren,7846248437,3.24E+11,39,11-05-1982,1,1,0,1,2,1,Jalgaon,Hindu,Odia,0,Art,none,1,0,0
Treyanna,8548611108,8.46E+11,67,28-10-1954,0,1,4,1,3,1,Aurangabad,Hindu,Tamil,0,Self Employed,none,2,1,1
Inus,8227667561,9.18E+11,56,13-05-1965,0,1,4,1,2,1,Ratnagiri,Hindu,Bengali,0,Self Employed,none,0,1,0
Sukanya,8631651945,3.91E+11,38,10-04-1984,0,1,4,0,2,1,Gondia,Hindu,Marathi,0,Unemployed,none,0,1,0
Dekyra,9936398126,1.70E+11,64,13-11-1957,0,1,2,1,1,1,Aurangabad,Hindu,Marathi,0,Education,none,2,1,1
Negan,9762478390,5.37E+11,63,23-04-1959,0,1,5,1,1,1,Aurangabad,Muslim,Hindi,1,Agriculture,none,1,0,0
Brecklynn,7029084064,9.38E+11,69,24-05-1952,0,1,6,1,2,1,Palghar,Buddhism,Punjabi,1,Social Service,none,2,0,0
Ainsly,9354976422,5.97E+11,59,05-07-1962,0,1,5,1,3,1,Sangli,Hindu,English,0,IT,none,0,0,0
Chazman,8374331266,4.19E+11,28,23-02-1994,1,1,4,1,2,1,Solapur,Hindu,Gujarati,1,IT,none,2,0,1
Wilt,8070927734,3.19E+11,77,05-09-1944,1,1,4,1,3,1,Wardha,Sikh,Hindi,0,Education,none,1,0,1
Nazmir,8193169657,6.11E+11,77,09-09-1944,1,1,3,0,2,1,Beed,Muslim,Assamese,1,Unemployed,none,2,1,0
Detrick,9579696768,9.34E+11,46,23-06-1975,1,1,0,1,2,1,Akola,Hindu,English,0,Communication,none,0,1,1
Baako,7779303731,7.98E+11,42,29-06-1979,3,1,1,1,2,1,Dhule,Hindu,Punjabi,1,Finance,none,1,0,0
Shaima,9900555815,7.01E+11,51,06-10-1970,0,1,1,1,1,1,Pune,Others,Marathi,0,Finance,Blood Pressure,0,0,1
Lacie-anne,8760049384,2.85E+11,22,17-11-1999,0,1,0,0,2,1,Bhandara,Sikh,English,1,Unemployed,none,1,0,1
Kensington,8661007885,5.48E+11,49,14-05-1972,0,1,5,0,2,1,Kolhapur,Muslim,Hindi,1,Unemployed,none,1,0,0
Tyquese,7969795991,3.55E+11,41,20-10-1980,1,1,3,1,1,1,Dhule,Christian,Hindi,1,IT,none,1,0,0
Bratislava,7808466500,7.80E+11,65,25-06-1956,0,1,1,0,1,1,Mumbai Suburban,Hindu,Gujarati,1,Unemployed,none,2,0,0
Mayana,8846629459,7.02E+11,46,13-12-1975,0,1,3,0,3,1,Washim,Hindu,Marathi,1,Unemployed,none,2,0,0
Yuniel,7612938102,1.65E+11,51,29-07-1970,1,1,6,0,1,1,Akola,Sikh,Tamil,0,Unemployed,none,2,0,0
Sofia-rose,9713810424,4.30E+11,47,17-10-1974,0,1,0,0,1,1,Kolhapur,Others,Tamil,0,Unemployed,none,2,1,0
Janade,8506377447,2.17E+11,25,01-03-1997,3,1,5,1,1,1,Akola,Jain,Marathi,0,Self Employed,none,1,0,1
Wahneeta,8489189758,5.11E+11,21,21-03-2001,0,1,1,1,2,1,Mumbai Suburban,Christian,Telugu,1,IT,none,2,1,0
Laylla,9324100578,6.37E+11,76,15-07-1945,0,1,4,1,1,1,Mumbai City,Jain,Marathi,0,Finance,none,2,0,0
Latrina,9593312287,7.19E+11,35,02-08-1986,0,1,3,1,3,1,Gondia,Hindu,Marathi,1,Social Service,none,2,1,0
Walahfrid,7009449721,8.88E+11,77,28-09-1944,1,1,6,0,1,1,Gondia,Buddhism,Hindi,0,Unemployed,none,0,1,0
Shareen,9212295695,6.37E+11,79,22-10-1942,0,1,5,1,1,1,Bhandara,Christian,Kannada,0,Social Service,none,0,1,1
Hamilcar,8142624532,7.98E+11,25,29-04-1996,1,1,5,1,2,1,Jain,Jain,Hindi,1,Finance,none,1,0,0
Lalutha,7979274331,2.39E+11,53,15-08-1968,0,1,3,0,1,1,Gadchiroli,Hindu,Hindi,1,Unemployed,Artheritis,1,1,0
Aajaylah,8349855898,7.43E+11,78,03-10-1943,0,1,0,0,2,1,Jalgaon,Jain,Odia,0,Unemployed,none,1,0,1
Lesia,8635474599,5.39E+11,40,11-04-1982,0,1,2,0,1,1,Beed,Hindu,Marathi,1,Unemployed,none,2,1,1
Leeam,8524638459,7.15E+11,26,10-07-1995,1,1,2,1,1,1,Ratnagiri,Hindu,Punjabi,1,Social Service,none,2,0,1
Shirlette,9480767037,6.13E+11,76,05-03-1946,0,1,0,0,1,1,Jain,Hindu,Malayalam,1,Unemployed,other,2,0,1
Lazara,8181179715,2.01E+11,35,23-10-1986,0,1,6,1,1,0,Washim,Hindu,Marathi,0,Education,none,0,0,1
Sharitta,8937713972,6.07E+11,25,25-06-1996,0,1,6,1,3,0,Aurangabad,Hindu,Marathi,0,Art,none,2,1,1
Jaxten,9869435953,9.10E+11,28,16-05-1993,1,1,4,0,2,0,Nanded,Others,Hindi,1,Unemployed,none,0,0,1
Aanijah,7242337093,7.36E+11,76,21-10-1945,0,1,5,0,3,0,Satara,Hindu,Punjabi,0,Unemployed,none,1,0,1
Giuliette,9197970819,3.66E+11,32,19-09-1989,0,1,1,1,1,0,Kolhapur,Hindu,Assamese,0,Self Employed,none,1,1,1
Garrhett,7599862554,7.76E+11,44,18-10-1977,1,1,5,1,3,0,Latur,Hindu,Marathi,0,Social Service,none,0,1,0
Rundy,9425294216,4.45E+11,30,10-04-1992,1,1,6,1,3,0,Osmanabad,Jain,English,1,Education,none,1,1,0
Maeda,9488354091,9.02E+11,29,20-08-1992,0,1,6,1,3,0,Solapur,Christian,Punjabi,1,IT,none,2,1,1
Kayleann,8941797063,9.42E+11,50,09-02-1972,0,1,0,0,2,0,Buldhana,Hindu,Gujarati,1,Unemployed,none,1,0,1
Peytonn,8560657488,8.37E+11,35,08-09-1986,0,1,3,1,3,0,Thane,Hindu,Marathi,0,Science and Technology,Blood Pressure,0,0,1
Shuan,9934479487,6.45E+11,58,04-11-1963,1,1,1,1,2,0,Latur,Hindu,Punjabi,1,Finance,none,1,1,0
Gulustan,8216220609,4.82E+11,40,17-03-1982,0,1,3,1,2,0,Kolhapur,Sikh,English,1,Social Service,none,1,1,0
Timothe,9602477918,2.08E+11,42,12-07-1979,1,1,5,1,2,0,Jain,Others,Telugu,0,Science and Technology,none,1,1,0
Bluma,8189182681,9.27E+11,56,23-05-1965,0,1,4,0,2,0,Satara,Hindu,English,1,Unemployed,none,0,1,1
Meshaun,9194606545,9.25E+11,46,14-07-1975,0,1,6,1,2,0,Gadchiroli,Hindu,Hindi,1,Self Employed,Artheritis,2,1,0
Stanka,8758625010,6.25E+11,40,13-02-1982,0,1,1,1,1,0,Mumbai City,Hindu,Kannada,0,Social Service,none,1,0,1
Brynlynn,7666992888,1.96E+11,75,08-03-1947,0,1,3,1,3,0,Solapur,Hindu,Marathi,0,Self Employed,none,1,1,0
Had,8430341396,2.58E+11,46,27-04-1976,1,1,0,0,2,1,Nagpur,Hindu,Hindi,0,Unemployed,none,1,1,0
Giany,9961625842,3.91E+11,74,13-05-1947,0,1,5,1,3,1,Parbhani,Hindu,Marathi,1,Business,none,1,0,0
Vipun,7748942299,8.53E+11,70,24-06-1951,1,1,1,1,2,1,Osmanabad,Muslim,English,0,Communication,none,0,0,0
Sincere,8071343393,1.69E+11,27,25-03-1995,1,1,5,1,1,1,Akola,Hindu,Marathi,1,Education,none,1,1,0
Kianny,9314132858,7.68E+11,19,08-07-2002,0,1,6,1,1,1,Gadchiroli,Hindu,Hindi,1,Education,none,2,1,1
Ceason,7960550757,8.29E+11,41,04-07-1980,0,1,1,1,1,1,Thane,Buddhism,Odia,1,Production,none,1,0,0
Deavante,7071907190,7.25E+11,39,17-09-1982,1,1,5,1,2,1,Sangli,Hindu,Gujarati,0,Art,none,0,1,0
Honesty,8193448051,4.47E+11,68,16-11-1953,0,1,4,0,3,1,Jalgaon,Jain,Marathi,1,Unemployed,Cancer,0,1,0
Dilanas,9277520074,4.27E+11,63,02-01-1959,1,1,3,0,3,1,Chandrapur,Buddhism,Marathi,0,Unemployed,Cancer,2,0,0
Dawni,8460511785,3.98E+11,63,16-04-1959,0,1,5,1,3,1,Satara,Hindu,Punjabi,0,IT,none,1,0,0
Samy,7106332839,6.82E+11,44,13-05-1977,1,1,3,1,2,1,Raigad,Christian,Tamil,1,Finance,none,2,0,0
Linora,7366291867,1.03E+11,37,19-08-1984,0,1,4,1,2,1,Mumbai City,Jain,Hindi,1,IT,none,2,0,0
Numayr,7455187366,1.98E+11,32,17-11-1989,1,1,1,1,2,1,Osmanabad,Hindu,Marathi,0,Science and Technology,none,2,0,1
Gurjot,8533315243,9.10E+11,21,24-05-2000,1,1,0,1,1,1,Kolhapur,Hindu,English,1,Social Service,none,2,1,1
Anbar,7596696852,3.41E+11,82,06-03-1940,0,1,6,1,3,1,Nanded,Christian,Assamese,1,IT,none,2,0,1
Tadeus,8780097230,6.18E+11,61,28-05-1960,1,1,6,1,2,1,Latur,Sikh,Telugu,0,Social Service,none,1,0,0
Juveriya,7657483236,5.54E+11,73,19-07-1948,0,1,0,1,3,1,Beed,Hindu,Kannada,0,IT,none,2,1,1
Sentrell,8947405942,5.11E+11,34,31-12-1987,1,1,4,1,2,1,Jalgaon,Sikh,English,0,Agriculture,none,1,0,0
